name,ingredients,prep_time,cook_time,state,course,People_liked,demand_increase_per_year,Profit_Per-Item
parsi steel paneer  with charwell ed ,"1 cup Paneer (Homemade Cottage Cheese) - crumbled,2 Whole Eggs,1 Onion - finely chopped,2 Green Chillies - finely chopped,2 cloves Garlic - finely chopped,1 teaspoon Whole Black Peppercorns - coarsely pounded,Salt - to taste,1 tablespoon Sunflower Oil - for cooking,2 sprig Coriander (Dhania) Leaves - finely chopped",5,15,Parsi Recipes,North Indian Breakfast,443,839,17
crispy pan fried pomfret ,"1 Pomfret fish - cut into 1 inch size pieces,2 tablespoons Sunflower Oil,1/2 Cup Sooji (Semolina/ Rava) - or breadcrumbs,1 teaspoon Salt - + Extra for pomfret pieces,5 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Fennel seeds (Saunf),3 Whole Black Peppercorns,3 Cloves (Laung),1/2 teaspoon Turmeric powder (Haldi),4 Dry Red Chillies,3 cloves Garlic,1 Inch Ginger,Tamarind - Marble size ball",15,10,Indian,Side Dish,982,740,4
chapor ghonto  ,"1 cup Potato (Aloo) - peeled and cubed,1 cup Kaddu (Parangikai/ Pumpkin) - peeled and cubed,1/2 cup Brinjal (Baingan / Eggplant) - cubed,1 cup Ridge Gourd (Turai/ Peerkangai) - scraped and cubed,1/2 cup Taro root - peeled and cubed,1 cup Dried Yellow/White Peas (Vatana),1 tablespoon Ginger - grated,1 tablespoon Mustard seeds,1 tablespoon Poppy seeds,Fresh coconut - grated as required to garnish (optional),2 Bay leaves (tej patta),2 Dry Red Chillies,1 teaspoon Panch Phoran Masala,2 Green Chillies,1 teaspoon Turmeric powder (Haldi),Salt - to taste,Sugar - to taste,Mustard oil - as required to cook",45,30,Bengali Recipes,Lunch,139,177,10
khao neeo mamuang ,"1 Mango (Ripe) - skin peeled and chopped,1/2 cup Rice,1 cup Coconut milk,1 tablespoon Jaggery,1 pinch Salt,1 cup Coconut milk,4 tablespoons Sugar",10,30,Thai,Dessert,332,112,13
 hariyali egg curry  in coriander and mint gravy,"4 अंडे - उबाल ले,1 दालचीनी - छोटी,1 तेज पत्ता,2 लॉन्ग,2 छोटे चम्मच धनिया पाउडर,1 छोटा चम्मच गरम मसाला पाउडर,1 बड़ा चम्मच तेल,2 बड़े चम्मच क्रीम,2 कप हरा धनिया - काट ले,1 कप पुदीना - काट ले,2 हरी मिर्च - काट ले,1 प्याज - काट ले,1 इंच अदरक - काट ले,4 कली लहसुन",15,20,Indian,Lunch,305,494,22
awadhi style chickpea kofta biryani ,"2 Onion - finely chopped,4 Tomatoes - pureed,1 teaspoon Ginger - grated,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,3/4 teaspoon Garam masala powder,1/2 cup Curd (Dahi / Yogurt),1/2 cup Mint Leaves (Pudina) - chopped,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,3/4 cup Kala Chana (Brown Chickpeas) - soaked for overnight,1 Onion,1 Green Chilli,2 tablespoons Coriander (Dhania) Leaves - chopped,3 cloves Garlic,Salt - to taste,Sunflower Oil - for cooking,1 1/2 cup Basmati rice,2 Cloves (Laung),2 Bay leaves (tej patta),2 Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,1 Mace (Javitri),Salt - to taste,Sunflower Oil - for cooking,1/4 cup Milk",20,45,Awadhi,Lunch,737,264,23
tomato and sunflower seed dip ,"2 Tomatoes - core removes and chopped,2 tablespoons Sunflower seeds,1 Green Chilli,2 sprig Coriander (Dhania) Leaves - chopped,2 Stalks Spring Onion Greens - chopped,Salt - to taste,2 tablespoons Extra Virgin Olive Oil",5,15,Mexican,Appetizer,371,305,5
broccoli & vegetable coconut curry ,"400 grams Broccoli - cut into florets,1 Red Bell pepper (Capsicum) - thinly sliced,1 Onion - chopped,4 Dry Red Chilli,1 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander (Dhania) Seeds,1 teaspoon Cumin seeds (Jeera),1 tablespoon Whole Black Peppercorns,Tamarind - lemon size,2 cups Fresh coconut - grated,3 cloves Garlic,1 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking",20,40,Mangalorean,Side Dish,876,427,9
dry chilli baby corn  ,"350 grams Baby corn - cut in small pieces,2 Onions - diced,3 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - finely chopped,1 Green Bell Pepper (Capsicum) - diced,Sunflower Oil - for cooking,2 teaspoon Soy sauce,1 teaspoon Vinegar,1 tablespoon Corn flour,1 tablespoon Tomato Ketchup,2 tablespoon Homemade tomato puree",10,30,Indo Chinese,Appetizer,512,748,6
murgh aur masoor dal ,"300 grams Chicken - with bone,1 cup Masoor Dal (Whole),2 Onions - sliced,1 Green Chilli - slit,1 inch Ginger - chopped,5 cloves Garlic - chopped,1 teaspoon Turmeric powder (Haldi),2 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,2 teaspoon Garam masala powder,1 Lemon juice,Salt - to taste,Sunflower Oil",10,45,North Indian Recipes,Lunch,367,645,6
no bake peanut butter granola bar  ,"1 कप ओट्स,2 कप खजूर - पिटेड,1 कप बादाम - चुरा कर ले,1/2 कप अखरोट - चुरा कर ले,1/2 कप मूंगफली बटर - या बादाम बटर,1/4 कप फ्लैक्स सीड्स पाउडर,ड्राई फ्रूट्स - अपने पसंद के (एप्रिकॉट्स,1 छोटा चम्मच वनीला एक्सट्रेक्ट - या ऑरेंज जेस्ट,1/2 कप चॉकलेट बार - बारीक काट ले",10,20,Continental,Snack,479,199,16
arbi masala  with arabic masala kasuri methi,"250 ग्राम अरबी - उबली और गोलाकार काटी हुई,1/4 कप टमाटर,1 छोटा चमच्च अदरक - पेस्ट,1 छोटा चमच्च लहसुन - पेस्ट,1/4 प्याज - बारीक काटा हुआ,1 हरी मिर्च - बारीक कटी हुई,1/4 छोटा चमच्च अमचूर पाउडर,1/4 छोटा चमच्च धनिया पाउडर,1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,नमक - स्वाद अनुसार,अजवाइन - थोड़ी,हरा धनिया - थोड़ा (कटा हुआ),हींग - चुटकी भर,1 छोटा चमच्च कसूरी मेथी,2 बड़ा चमच्च तेल",15,20,Indian,Lunch,429,834,23
chipotle roasted mushroom vegetarian quesadilla ,"8 Tortillas,1 cup Cheddar cheese - grated,200 grams Button mushrooms - chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,2 Green Chillies - finely chopped,1 tablespoon Lemon juice,1 tablespoon Chipotle sauce,1 tablespoon Chipotle sauce",20,30,Mexican,Appetizer,715,736,22
tomato methi rice ,"4 कप चावल - पका ले,1 प्याज - पतला काट ले,1 इंच अदरक - कस ले,4 कली लहसुन - कस ले,3 टमाटर - बारीक काट ले,2 कप मेथी - काट ले,1 छोटा चमच्च लाल मिर्च पाउडर,2 छोटा चमच्च धनिया पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1 दाल चीनी,2 लॉन्ग,1 इलाइची,2 बड़े चमच्च घी,नमक - स्वाद अनुसार",10,20,Indian,Dinner,849,109,13
chilli garlic toast  ,"6 बड़ा चमच्च मक्खन - हर्ब वाला,1 हरी मिर्च - बारीक काट ले,4 कली लहसुन - बारीक काट ले,4 ब्रेड",10,15,Fusion,World Breakfast,500,503,15
 kollu thogayal ,"3 कुलीथ दाल,1 बड़ा चम्मच चना दाल,1 बड़ा चम्मच उरद दाल,1/4 कप नारियल - कस ले,2 सुखी लाल मिर्च - तोड़ ले,1 छोटा चम्मच तेल,1 छोटा चम्मच राइ,1 टहनी कढ़ी पत्ता,हींग - चुटकी भर,हल्दी पाउडर - चुटकी भर,नमक - स्वाद अनुसार,पानी - प्रयोग अनुसार",5,10,South Indian Recipes,Side Dish,215,316,18
peanut raita  ,"1-1/2 कप दही,1/3 कप पानी,नमक - स्वाद अनुसार,1 छोटा चम्मच काली मिर्च पाउडर,1 छोटा चम्मच जीरा पाउडर,1 कप मूंगफली,2 टहनी पुदीना - काट ले,2 टहनी हरा धनिया - काट ले",10,0,Indian,Side Dish,800,755,19
sikkim style steamed chicken momo ,"1-1/2 cups Whole Wheat Flour,1/2 cups All Purpose Flour (Maida),Water - as needed,450 grams Chicken - chopped or shredded finely,1/8 cup Portobello mushrooms - finely chopped,1/4 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1/2 cup Onion - finely chopped,4 cloves Garlic - minced,5 Green Chillies - chopped,2 tablespoons Soy sauce,1 teaspoon Sugar,1 tablespoon Sunflower Oil,Salt - to taste",40,10,North East India Recipes,Appetizer,268,626,25
jhure jhure aloo bhaja  ,"2 आलू,20 कढ़ी पत्ता,1/2 छोटा चम्मच लाल मिर्च पाउडर,तेल - प्रयोग अनुसार,नमक - स्वाद अनुसार",10,20,Bengali Recipes,Snack,717,463,5
 beetroot and fig chutney ,"1 cup Figs - chopped, 1 teaspoon celery, 1 cup Chakundar - (beetroot), 1 teaspoon nutmeg, 2 teaspoons red chili powder, 4 cloves garlic - chopped, 3 green chillies - chopped",10,25,North Indian Recipes,Side Dish,916,617,8
kela matar ki sabzi  ,"2 Raw Banana,1/2 cup Green peas (Matar) - boiled,1/2 teaspoon Cumin seeds (Jeera),2 Green Chilli - slit,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1 teaspoon Amchur (Dry Mango Powder),2 teaspoons Lemon,1 teaspoon Garam masala powder,1 tablespoon Sunflower Oil,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste",15,20,North Indian Recipes,Lunch,414,815,25
kongunadu style period kujambu  ,"500 grams Button mushrooms - quartered,1 Onion - chopped,1 Green Chilli - slit,1 sprig Curry leaves,1 teaspoon Mustard seeds,Salt - to taste,Sunflower Oil,2 tablespoon Coriander (Dhania) Seeds,3 Dry Red Chilli,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1 teaspoon Whole Black Peppercorns,1 Onion - chopped,4 cloves Garlic,1 inch Ginger,4 tablespoon Fresh coconut - grated,2 tablespoons Garam masala powder",10,30,Kongunadu,Side Dish,306,124,9
buttered herbed rice ,"2 cups Basmati rice,1 teaspoon Garlic - finely chopped,3-4 Basil leaves - roughly torn,1/2 teaspoon Parsley leaves - finely chopped,1 teaspoon Dried oregano,1 teaspoon Red Chilli flakes,2 tablespoon Butter,Salt - to taste,Black pepper powder - to taste",20,20,Continental,Dinner,958,995,8
jain style paneer makhani  ,"250 ग्राम पनीर - काट ले,1 कप हरे मटर - भाप ले,2 टमाटर - उबालकर,1 शिमला मिर्च (लाल) - काट ले,1 हरी मिर्च,2 बड़े चमच्च घी - या मक्खन,नमक - स्वाद अनुसार,1/4 कप क्रीम - या हंग दही,1/4 कप दूध,1 छोटा चमच्च शक्कर,1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,2 बड़े चमच्च कसूरी मेथी,3 टहनी हरा धनिया - गार्निश के लिए",20,30,North Indian Recipes,Side Dish,495,764,24
mushroom quiche ,"1/2 cup All Purpose Flour (Maida),1 pinch Salt,3 tablespoon Butter (unsalted) - cold,1/3 cup Parmesan cheese - grated,2 tablespoon Chilled water,3 Whole Eggs - beaten along with a tablespoon of milk,4 Shallots - finely chopped,6 Portobello mushrooms,1 teaspoon Parsley leaves - dried,1/2 teaspoon Garlic powder,1 clove Garlic - finely minced,2 tablespoon Sunflower Oil,Salt and Pepper - as needed",30,90,French,Lunch,708,421,2
palakatti chettinad curry  ,"250 grams Paneer (Homemade Cottage Cheese) - cubed,1/2 cup Pearl onions (Sambar Onions) - quartered,1 Tomato - chopped,1 teaspoon Mustard seeds,1 tablespoon Red Chilli powder,Salt - to taste,Sunflower Oil - for cooking,2 sprig Curry leaves,2 tablespoon Coriander (Dhania) Seeds,3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,2 teaspoon Whole Black Peppercorns,3 Kalpasi leaves,2 Star anise,6 Dry Red Chilli,1 teaspoon Poppy seeds,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 sprig Curry leaves,Coriander (Dhania) Leaves - a small bunch finely chopped",20,30,Chettinad,Main Course,801,144,21
 dal bukhara ,"1 कप काली उरद दाल - भिगो ले,1 प्याज - बारीक काट ले,3 टमाटर - प्यूरी बना ले,1 अदरक लहसुन का पेस्ट,2 हरी मिर्च,2 बड़े चम्मच मक्खन,1 छोटा चम्मच जीरा,1 कसूरी मेथी,नमक - स्वाद अनुसार,1 छोटा चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच चाट मसाला पाउडर,1 छोटा चम्मच गरम मसाला पाउडर,1 छोटा चम्मच जीरा पाउडर,1/4 कप क्रीम",20,60,Punjabi,Dinner,854,362,11
mini naan  with pindi chole,"1-1/2 cup Whole Wheat Flour,1/4 cup Bajra Flour ( Pearl Millet),1/4 cup Jowar Flour (Sorghum),1/2 cup Curd (Dahi / Yogurt),1-1/2 teaspoons Active dry yeast,Salt - to taste,1 teaspoon Sugar,1 tablespoon Nutralite Garlic & Oregano Spread,1 teaspoon Nutralite Classic Spread,1 Onion - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - slit,1/2 cup Homemade tomato puree,2 Cardamom (Elaichi) Pods/Seeds,1 Cinnamon Stick (Dalchini),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Anardana Powder (Pomegranate Seed Powder),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,1/2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Red Chilli powder,Salt - to taste,1 cup Kala Chana (Brown Chickpeas) - soaked overnight and cooked,Coriander (Dhania) Leaves - a small bunch finely chopped,1 cup Purple cabbage - thinly sliced,1 Onion - thinly sliced,1 Carrot (Gajjar) - grated,2 tablespoons Nutralite Cheesy Garlic Mayo,Salt and Pepper - to taste,1/2 cup Pudina Dahi Chutney",15,40,Fusion,Appetizer,306,536,11
gujarati tawa handvo  ,"1 cup Rice - (raw rice),1/2 cup Arhar dal (Split Toor Dal),1/2 cup Green Moong Dal (Whole),1/2 cup Chana dal (Bengal Gram Dal),1/4 cup White Urad Dal (Whole),2 Green Chillies,1 tablespoon Ginger - chopped,1 cup Curd (Dahi / Yogurt),2-1/2 teaspoons Enos fruit salt,1/2 teaspoon Turmeric powder (Haldi),2 cups Bottle gourd (lauki) - grated,Sunflower Oil - to cooking,Salt - to taste,1/2 teaspoon Mustard seeds,1/2 teaspoon Sesame seeds (Til seeds),1 teaspoon Curry leaves - finely chopped,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Red Chilli powder,1 tablespoon Sunflower Oil,1/2 cup Green beans (French Beans) - finely chopped,1/2 cup Carrots (Gajjar) - finely chopped,1/2 cup Onions - finely chopped",20,30,Gujarati Recipes﻿,North Indian Breakfast,658,996,19
bhatt ki dal  ,"1 कप काले बीन्स - रात भर भिगो दे,1 प्याज - बारीक काट ले,4 कली लहसुन - बारीक काट ले,1 छोटा चम्मच जीरा,1 छोटा चम्मच हल्दी पाउडर,2 छोटा चम्मच लाल मिर्च पाउडर,2 छोटा चम्मच धनिया पाउडर,2 छोटा चम्मच गरम मसाला पाउडर,नमक - स्वाद अनुसार,तेल,1 बड़ा चम्मच घी",10,25,North Indian Recipes,Lunch,543,180,22
gola kebab  ,"80 grams Onions - chopped,200 grams Mutton - boneless,1/4 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),2 tablespoons Coriander (Dhania) Leaves,1 teaspoon Mint Leaves (Pudina),Salt - to taste,Sunflower Oil - as required",10,20,Lucknowi,Appetizer,902,908,6
churma ladoo  ,"2 cups Whole Wheat Flour,1 cup Ghee,2 cups Jaggery - shredded,Milk - as required,2 teaspoons Cardamom Powder (Elaichi),1 teaspoon Nutmeg powder,1/2 cup Poppy seeds,Ghee - for frying",12,40,Rajasthani,Snack,893,311,22
thenga vada  ,"3 cups Rice flour,1/2 cup All Purpose Flour (Maida),3/4 cup Fresh coconut - scraped,6 Green Chillies - oarsely ground (you can also use red chilly powder),Salt - to taste,Sunflower Oil - for deep frying",20,40,Indian,Snack,565,684,23
chettinad pazha payasam  ,"1 liter Milk,10 Whole cashews - soaked in water,10 Badam (Almond) - soaked in water and skin removed,1/2 teaspoon Cardamom Powder (Elaichi),2 Mango (Ripe) - peeled and chopped,1/2 cup Sugar,2 Ripe Bananas - peeled and chopped,1 Apple - peeled and chopped,1 Orange - peeled and chopped,1/2 cup Green Grapes - chopped,1/2 cup Black grapes - chopped,1/2 cup Fresh Pomegranate Fruit Kernels,2 tablespoons Honey",60,60,Chettinad,Dessert,922,442,7
awadhi style sultani dal  ,"250 ग्राम अरहर दाल,2 कप दूध,125 ग्राम क्रीम,1 कप दही,1 प्याज - काट ले,1 छोटा चमच्च जीरा,1 छोटा चमच्च लाल मिर्च पाउडर,2 हरी मिर्च - काट ले,4 कली लहसुन - काट ले,1 इंच अदरक - काट ले,2 इलाइची - तोड़ ले,घी - या तेल,नमक - स्वाद अनुसार",10,30,Awadhi,Dinner,656,664,21
mushroom and beet wellington with red vinaigrette sauce ,"1 Onion - sliced,1 Red Bell pepper (Capsicum) - minced,200 grams Button mushrooms - cut into small chunks,4 cloves Garlic - minced,1 Stalks Celery - roughly chopped,Salt and Pepper - for seasoning,2 tablespoon Fresh cream,3 tablespoons Extra Virgin Olive Oil,1 teaspoon Fresh Thyme leaves - plus extra for sprinkling,2 Beetroot - cut into 1 centimeter roundels,1 tablespoon Red Wine Vinaigrette,1 teaspoon Rosemary,1 tablespoon Butter,1 Whole Egg - for coating,1 Puff Pastry Sheet",350,60,Continental,Main Course,536,257,8
chinese savoury rice porridge  with pumpkin,"1 cup Rice,1 cup Kaddu (Parangikai/ Pumpkin) - cut into cubes,6 cups Water - or Vegetable Stock,Salt - to taste,Whole Black Peppercorns - freshly crushed,1 teaspoon Ginger - grated or cut into thin strips,Spring Onion Greens - chopped,Coriander (Dhania) Leaves - chopped",20,20,Chinese,Dinner,971,640,17
mango shikanji  ,"500 ml Bisleri Fonzo - The Bubbly Mango Drink,1/2 teaspoon Chaat Masala Powder,1/2 teaspoon Black Salt (Kala Namak),1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Black pepper powder,2 tablespoons Lemon juice",10,0,Indian,Appetizer,946,641,26
brinjal tomato vegetable ,"1 Brinjal (Baingan / Eggplant) - cut into 1 inch thick wedges,5 Tomato - finely chopped,1 Onion - finely chopped,4 cloves Garlic - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder - to taste,Salt - to taste,1 tablespoon Ghee - for cooking,1 teaspoon Sunflower Oil,Coriander (Dhania) Leaves - small bunch",20,30,Indian,Side Dish,189,303,28
cauliflower kurma  ,"1 Cauliflower (gobi) - roughly chopped into smaller pieces,1 Tomato - finely chopped,15 to 20 Shallots - finely chopped,3 to 4 Green Chillies - cut lengthwise,4 cloves Garlic - grated,1 inch Ginger - grated,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Cumin powder (Jeera),Salt - to taste,4 teaspoons Fresh coconut - finely chopped,1 teaspoon Fennel seeds (Saunf),1 teaspoon Cashew nuts - approximately 6-8,1 teaspoon Poppy seeds,1/2 teaspoon Coriander (Dhania) Seeds,1 teaspoon Roasted Gram Dal (Pottukadalai),2 Dry Red Chillies,1 tablespoon Coconut Oil,1 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1 Star anise,1 Bay leaf (tej patta),1 sprig Curry leaves",20,60,Tamil Nadu,Lunch,712,186,7
zucchini parmesan fritters ,"2 Green zucchini - sliced thin,1/4 cup Whole Wheat Bread crumbs,1/4 cup Parmesan cheese - coarsely grated,1/4 cup Corn flour,1 teaspoon Black pepper powder,1 tablespoon Dried oregano,Salt - (adjust according to your taste),1 Whole Egg - whisked,Sunflower Oil",15,15,European,Snack,524,623,26
kerala pumpkin black eyed beans erissery ,"2 cups Kaddu (Parangikai/ Pumpkin) - chopped,1/2 cup Black Eyed Beans (Lobia),1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Fresh coconut - grated,1/2 teaspoon Cumin seeds (Jeera),1 Green Chilli,1 tablespoon Coconut Oil,1/2 teaspoon Mustard seeds,1 sprig Curry leaves,2 Dry Red Chillies,1 tablespoon Fresh coconut,4 Pearl onions (Sambar Onions) - sliced",10,20,Kerala Recipes,Lunch,417,100,9
mushroom corn masala dosa  using ragi idli dosa batter,"2 cups White Urad Dal (Whole) - soaked overnight,3 teaspoon Methi Seeds (Fenugreek Seeds) - soaked overnight,1 cup Idli Rice - soaked overnight,2 cups Ragi Seeds - soaked overnight,Ghee - to make the dosas,2 Onions - finely chopped,1 Green Bell Pepper (Capsicum) - finely chopped,6 cloves Garlic - finely chopped,400 grams Button mushrooms - sliced,1 cup Sweet corn - steamed,1/4 cup Homemade tomato puree,1 tablespoon Pav bhaji masala,1/2 teaspoon Red Chilli powder,1 tablespoon Tomato Ketchup - sweet and spicy,Salt - to taste,1/4 cup Mint Leaves (Pudina) - chopped",10,25,Fusion,South Indian Breakfast,768,783,28
apple cinnamon french toast ,"4 Whole Wheat Brown Bread,3 Whole Eggs,1/2 cup Milk - at room temperature,1/4 cup Fresh cream,1/4 cup Brown Sugar (Demerara Sugar),1 teaspoon Cinnamon Powder (Dalchini),4 tablespoon Butter (unsalted),1 Apple - peeled and sliced,1 inch Cinnamon Stick (Dalchini),2 tablespoon Brown Sugar (Demerara Sugar),1 tablespoon Butter (unsalted)",15,15,French,World Breakfast,824,536,24
homemade vada pav  with cheesy aloo vada,"1 teaspoon Sunflower Oil,2 teaspoons Sesame seeds (Til seeds),5 Dry Red Chillies,1/4 cup Garlic - cloves,1/2 cup Dessicated Coconut,Salt - to taste,2 cups Gram flour (besan),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Ajwain (Carom seeds),Salt - to taste,Water - as required,1 tablespoon Sunflower Oil,1/2 teaspoon Mustard seeds,1 Onion - finely chopped,1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Asafoetida (hing),4 Potatoes (Aloo) - boiled and mashed,1/2 teaspoon Turmeric powder (Haldi),2 sprig Coriander (Dhania) Leaves - finely chopped,Britannia Cheese Cubes - chopped,Salt - to taste,8 Pav buns,Butter - for toasting the buns (optional),Sunflower Oil - for deep frying",15,40,Maharashtrian Recipes,Snack,120,186,26
whole wheat mushroom spinach calzone ,"1-1/2 cup Whole Wheat Flour,1/4 cup Water - lukewarm + extra if needed,1 tablespoon Active dry yeast,1 teaspoon Sugar,Salt - to taste,1 teaspoon Extra Virgin Olive Oil,200 grams Button mushrooms,1-1/2 cup Spinach - finely chopped,1 Onion - finely chopped,5 cloves Garlic - grated,Salt - to taste,Black pepper powder - to taste,1/2 cup Mozzarella cheese,1/2 cup Ricotta Cheese,1 teaspoon Extra Virgin Olive Oil,Milk - for brushing",10,180,Italian Recipes,Snack,537,250,4
cheesy corn and onion toasts ,"6 Whole Wheat Brown Bread - slices,1 Onion - finely chopped,1 cup Sweet corn - boiled,1 Green Bell Pepper (Capsicum) - sliced,1/2 cup Mozzarella cheese - cut into small cubes,1 teaspoon Dried Thyme Leaves - or any dried or fresh herbs of your choice,1/2 teaspoon Black pepper powder,2 teaspoon Sunflower Oil,Salt - to taste",0,10,Italian Recipes,Snack,908,163,11
parsi rotli  ,"1 cup Whole Wheat Flour,1/2 teaspoon Salt - optional,1/4 cup Milk,Water - as required,1 teaspoon Ghee - 1 teaspoon ghee,Ghee - for serving",10,20,Parsi Recipes,Main Course,514,991,2
fennel turmeric walnut soup with apple and raw mango ,"2 tablespoons Sunflower Oil,1/4 cup Leek - sliced thin,2 cups Fennel bulb - sliced thin,1/4 cup Mango (Raw) - peeled and sliced thin,1 cup Apple - sliced thin,1/2 cup Walnuts - shelled,1 tablespoon Honey,2 tablespoons Fresh Thyme leaves,1 tablespoon Turmeric powder (Haldi),4 cups Vegetable stock,Salt - to taste,Black pepper powder - to taste,6 to 7 Walnuts - shelled",0,50,Parsi Recipes,Main Course,308,265,14
 goan chicken vindaloo ,"500 ग्राम चिकन - टुकड़े कर ले,2 प्याज - काट ले,1 टमाटर - काट ले,1/4 कप टमाटर प्यूरी,1 बड़ा चम्मच तेल,2 हरी मिर्च - काट ले,1 बड़ा चम्मच इमली - धोकर गरम पानी में भिगो ले,हरा धनिया - प्रयोग अनुसार,नमक - स्वाद अनुसार,1 छोटा चम्मच तेल,8 कली लहसुन,1/2 इंच अदरक,5 सुखी कश्मीरी मिर्च,1/2 बड़ा चम्मच राइ,1/2 बड़ा चम्मच पूरी काली मिर्च,1 छोटा चम्मच जीरा,1 बड़ा चम्मच धनिये के बीज,1/2 छोटा चम्मच मेथी के दाने,3 लॉन्ग,1 इंच दालचीनी,4 बड़ा चम्मच सिरका,1/2 छोटा चम्मच हल्दी पाउडर,1 छोटा चम्मच गुड़,1/2 छोटा चम्मच नमक - स्वाद अनुसार",10,40,Goan Recipes,Dinner,436,648,26
south indian style vegetable kurma ,"2 cups Mixed vegetables - use carrots,2 Onions,2 Tomatoes - pureed,2 Green Chillies,1 tablespoon Red Chilli powder,1-1/2 tablespoon Coriander Powder (Dhania),1 teaspoon Turmeric powder (Haldi),1 teaspoon Black pepper powder,Salt - to taste,2 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,4 Cloves (Laung),1 tablespoon Ginger Garlic Paste,4 tablespoon Fresh coconut - grated,2 tablespoon Poppy seeds,15 to 20 Cashew nuts,2 tablespoon Sunflower Oil,Salt - to taste,Coriander (Dhania) Leaves - for garnish",15,45,South Indian Recipes,Lunch,689,395,11
maharashtrian multigrain thalipeeth ,"1 cup Whole Wheat Flour,1/2 cup Ragi Flour (Finger Millet/ Nagli),1/2 cup Gram flour (besan),1/2 cup Bajra Flour ( Pearl Millet),80 grams Rolled Oats Or Instant Oats - powdered,250 grams Methi Leaves (Fenugreek Leaves) - chopped,2 tablespoons Sesame seeds (Til seeds),1 Green Chilli - finely chopped,1 inch Ginger - grated,1/4 teaspoon Asafoetida (hing),1/2 cup Curd (Dahi / Yogurt),Sunflower Oil - for smearing,Salt - to taste",25,30,Maharashtrian Recipes,Indian Breakfast,209,787,3
kerala style vattayappam  ,"1 cup Rice,1/4 cup Cooked rice,1/2 cup Fresh coconut - grated,1/4 teaspoon Cumin seeds (Jeera),1 teaspoon Active dry yeast - soaked in luke warm water (2 tablespoon),5 tablespoon Sugar,1/4 teaspoon Salt,2 Cardamom (Elaichi) Pods/Seeds - powdered,1 tablespoon Ghee,2 teaspoons Raisins",500,45,Kerala Recipes,South Indian Breakfast,979,464,27
italian style potato and cucumber salad ,"5 Potatoes (Aloo) - boiled,1 English Cucumber - sliced and cut into halves,1 Onion - sliced,2 Tomatoes - diced,2 teaspoon Basil leaves - finely chopped,Parsley leaves,1/4 teaspoon Dried oregano,15 Black olives - chopped,Salt - to taste,Black pepper powder - as required,2 tablespoons Extra Virgin Olive Oil",10,30,Italian Recipes,Dinner,913,564,14
